Split,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Validation,0.49999999999999994,0.8791946308724832,0.9541284403669725,0.8888888888888888,0.9203539823008849,0.9423076923076923,0.9851783403982988
Test,0.49999999999999994,0.9933774834437086,0.9841269841269841,1.0,0.992,0.9996375498368975,0.9994838379333696
