Split,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Validation,0.5973154362416108,0.8904109589041096,0.5555555555555556,0.6842105263157895,0.796207264957265,0.9330299845481368
Test,0.9735099337748344,1.0,0.9354838709677419,0.9666666666666667,0.9994563247553461,0.9992194275684834
