Threshold,Precision,Recall,F1
0.2,0.9014084507042254,0.927536231884058,0.9142857142857143
0.25,0.890625,0.8260869565217391,0.8571428571428571
0.3,0.8870967741935484,0.7971014492753623,0.8396946564885496
0.35,0.8947368421052632,0.7391304347826086,0.8095238095238095
0.4,0.9,0.6521739130434783,0.7563025210084033
0.45,0.8888888888888888,0.5797101449275363,0.7017543859649122
0.5,0.875,0.5072463768115942,0.6422018348623854
0.55,0.875,0.5072463768115942,0.6422018348623854
0.6,0.8717948717948718,0.4927536231884058,0.6296296296296297
0.65,0.8611111111111112,0.4492753623188406,0.5904761904761905
0.7,0.8571428571428571,0.43478260869565216,0.5769230769230769
0.75,0.875,0.4057971014492754,0.5544554455445545
0.8,0.9310344827586207,0.391304347826087,0.5510204081632653
