Timestep,count,sum,mean,max,Percent_of_Total
1,161,0.080483364897,0.000499896676378882,0.004192833,8.048336828277435
2,161,0.089502424307,0.0005559156789254659,0.0071457634,8.950242807218816
3,161,0.07217812615,0.00044831134254658383,0.0058835065,7.217812918638954
4,161,0.09136487415,0.0005674836903726708,0.0057190647,9.136487799353768
5,161,0.080147908036,0.0004978130933913043,0.0068666246,8.014791140766233
6,161,0.086453132,0.0005369759751552795,0.007052295,8.645313563691051
7,161,0.086879117285,0.0005396218464906832,0.011584193,8.687912093983085
8,161,0.109851490389,0.0006823073937204969,0.009248446,10.985149501023269
9,161,0.131904643968,0.0008192835029068324,0.009065204,13.190464951696478
10,161,0.17123487675000001,0.0010635706630434784,0.01682352,17.12348839535091
