Feature,Importance,Timestep,Feature_Index,Real_Feature,Feature_Family,Temporal_or_Base
timestep_10_feature_104,0.0012422567,10,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_40,0.00124186,10,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_95,0.0012379794,3,95,Avg_Packet_Length_Std_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_72,0.0012361337,7,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_80,0.0012172667,4,80,Avg_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_47,0.0012166555,7,47,Avg_Bwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_31,0.0012001466,3,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_40,0.001193907,2,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_48,0.0011931122,7,48,Avg_Bwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_39,0.001190539,3,39,Avg_Fwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_96,0.0011862552,10,96,Avg_Packet_Length_Std_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_64,0.0011749844,1,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_140,0.0011521325,10,140,ACK_Count_Diff5,Difference,Temporal / Behaviour
timestep_9_feature_40,0.0011481625,9,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_104,0.0011422944,9,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_87,0.0011406387,7,87,Avg_Packet_Length_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_54,0.0011345127,7,54,Avg_Fwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_1_feature_148,0.0011333643,1,148,Unique_Destination_Ports_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_120,0.0011275805,5,120,SYN_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_71,0.0011237842,5,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_98,0.0011198247,8,98,Avg_Packet_Length_Std_Slope5,Slope,Temporal / Behaviour
timestep_10_feature_39,0.0011163581,10,39,Avg_Fwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_9_feature_71,0.0011118073,9,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_126,0.0010995382,3,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_6_feature_71,0.0010932847,6,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_144,0.0010824656,6,144,ACK_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_24,0.0010729617,8,24,Flow_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_112,0.0010710034,9,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_63,0.0010625866,2,63,Avg_Bwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_151,0.0010612844,2,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_135,0.0010570702,5,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_95,0.0010512902,2,95,Avg_Packet_Length_Std_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_4_feature_47,0.0010473389,4,47,Avg_Bwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_47,0.0010440347,10,47,Avg_Bwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_36,0.0010438934,5,36,Avg_Fwd_Packets_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_47,0.0010424339,5,47,Avg_Bwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_80,0.0010323166,6,80,Avg_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_112,0.0010130333,7,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_52,0.0010121606,4,52,Avg_Fwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_72,0.0010107439,5,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_126,0.0009974414,9,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_1_feature_39,0.0009954587,1,39,Avg_Fwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_56,0.0009927903,1,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_48,0.0009869032,5,48,Avg_Bwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_73,0.0009846799,5,73,Avg_Bytes_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_4_feature_54,0.00098076,4,54,Avg_Fwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_9_feature_48,0.0009780112,9,48,Avg_Bwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_103,0.0009754988,4,103,Avg_Fwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_82,0.0009750587,3,82,Avg_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_2_feature_140,0.00097154983,2,140,ACK_Count_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_135,0.000962093,3,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_128,0.0009420825,8,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_52,0.0009390131,2,52,Avg_Fwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_2_feature_71,0.0009217064,2,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_4_feature_64,0.0009173386,4,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_148,0.0009168314,7,148,Unique_Destination_Ports_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_58,0.0009162533,3,58,Avg_Fwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_143,0.00091062527,3,143,ACK_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_84,0.0009088443,2,84,Avg_Packet_Length_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_91,0.00090791204,5,91,Avg_Packet_Length_Std_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_122,0.0009078182,5,122,SYN_Count_Slope5,Slope,Temporal / Behaviour
timestep_9_feature_96,0.0008998214,9,96,Avg_Packet_Length_Std_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_153,0.0008898707,4,153,Unique_Destination_Ports_ZScore5,Z-Score,Temporal / Behaviour
timestep_8_feature_100,0.00088508724,8,100,Avg_Fwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_53,0.0008795137,5,53,Avg_Fwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
timestep_8_feature_124,0.00087723584,8,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_115,0.0008743464,3,115,SYN_Count_Diff1,Difference,Temporal / Behaviour
timestep_1_feature_69,0.0008712151,1,69,Avg_Bytes_Per_Second_PctChange1,Percentage Change,Temporal / Behaviour
timestep_7_feature_80,0.00086985086,7,80,Avg_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_128,0.0008672718,10,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_125,0.00086223654,10,125,RST_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_10_feature_84,0.0008595589,10,84,Avg_Packet_Length_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_40,0.00085080054,4,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_152,0.0008405132,8,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_45,0.0008404726,2,45,Avg_Bwd_Packets_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_96,0.0008394871,1,96,Avg_Packet_Length_Std_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_114,0.0008391228,9,114,Avg_Bwd_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_8_feature_87,0.00083895435,8,87,Avg_Packet_Length_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_140,0.00083770044,1,140,ACK_Count_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_98,0.00083614414,4,98,Avg_Packet_Length_Std_Slope5,Slope,Temporal / Behaviour
timestep_2_feature_48,0.00083414663,2,48,Avg_Bwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_128,0.0008322738,9,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_137,0.0008303675,10,137,PSH_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_3_feature_40,0.00082855026,3,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_111,0.0008157479,5,111,Avg_Bwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_112,0.00081526896,6,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_110,0.0008073751,2,110,Avg_Bwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_40,0.0007904321,5,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_112,0.00078930287,1,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_124,0.00077374163,4,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_97,0.0007719438,3,97,Avg_Packet_Length_Std_ZScore5,Z-Score,Temporal / Behaviour
timestep_6_feature_128,0.0007711069,6,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
