Feature,Importance,Timestep,Feature_Index,Real_Feature,Feature_Family,Temporal_or_Base
timestep_7_feature_94,0.0005353785,7,94,Avg_Packet_Length_Std_PctChange5,Percentage Change,Temporal / Behaviour
timestep_7_feature_69,0.00053066347,7,69,Avg_Bytes_Per_Second_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_78,0.0005304284,1,78,Avg_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_7_feature_71,0.0005296108,7,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_151,0.0005288765,8,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_106,0.0005286789,2,106,Avg_Fwd_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_10_feature_41,0.00052265206,10,41,Avg_Fwd_Packets_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_121,0.00052086316,9,121,SYN_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_5_feature_159,0.0005190394,5,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_2_feature_112,0.0005179241,2,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_131,0.0005140761,8,131,PSH_Count_Diff1,Difference,Temporal / Behaviour
timestep_9_feature_140,0.0005135432,9,140,ACK_Count_Diff5,Difference,Temporal / Behaviour
timestep_10_feature_138,0.0005128691,10,138,PSH_Count_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_80,0.0005061984,5,80,Avg_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_133,0.0005039796,7,133,PSH_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_6_feature_96,0.0004929788,6,96,Avg_Packet_Length_Std_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_21,0.00049218646,10,21,Flow_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_10_feature_113,0.0004895841,10,113,Avg_Bwd_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_3_feature_56,0.000488161,3,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_142,0.00048543583,2,142,ACK_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_8_feature_92,0.0004748686,8,92,Avg_Packet_Length_Std_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_126,0.00047481182,4,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_1_feature_52,0.00047303777,1,52,Avg_Fwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_2_feature_92,0.00046810473,2,92,Avg_Packet_Length_Std_Diff5,Difference,Temporal / Behaviour
timestep_6_feature_103,0.00046602625,6,103,Avg_Fwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_83,0.00046497973,7,83,Avg_Packet_Length_Diff1,Difference,Temporal / Behaviour
timestep_10_feature_132,0.00046424364,10,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_10_feature_146,0.00046281732,10,146,ACK_Count_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_33,0.00046217284,3,33,Avg_Flow_Duration_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_150,0.0004612009,10,150,Unique_Destination_Ports_PctChange5,Percentage Change,Temporal / Behaviour
timestep_2_feature_159,0.00045898542,2,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_9_feature_106,0.0004583494,9,106,Avg_Fwd_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_127,0.00045792907,5,127,RST_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_114,0.00045582108,10,114,Avg_Bwd_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_6_feature_159,0.00045472392,6,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_3_feature_100,0.0004542498,3,100,Avg_Fwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_94,0.00045337842,4,94,Avg_Packet_Length_Std_PctChange5,Percentage Change,Temporal / Behaviour
timestep_2_feature_58,0.00045287996,2,58,Avg_Fwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_121,0.00045068306,3,121,SYN_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_145,0.000449567,9,145,ACK_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_109,0.00044610092,10,109,Avg_Bwd_Packets_Per_Second_PctChange1,Percentage Change,Temporal / Behaviour
timestep_2_feature_24,0.00044607345,2,24,Flow_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_143,0.00044558235,6,143,ACK_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_136,0.0004449896,2,136,PSH_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_94,0.0004449824,1,94,Avg_Packet_Length_Std_PctChange5,Percentage Change,Temporal / Behaviour
timestep_10_feature_29,0.00043890916,10,29,Avg_Flow_Duration_PctChange1,Percentage Change,Temporal / Behaviour
timestep_8_feature_63,0.0004382172,8,63,Avg_Bwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_63,0.0004379328,3,63,Avg_Bwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_9_feature_42,0.00043374984,9,42,Avg_Fwd_Packets_Slope5,Slope,Temporal / Behaviour
timestep_8_feature_77,0.00043174234,8,77,Avg_Packets_Per_Second_PctChange1,Percentage Change,Temporal / Behaviour
timestep_9_feature_151,0.00042839695,9,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_4_feature_134,0.00042818967,4,134,PSH_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_6_feature_137,0.00042766778,6,137,PSH_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_3_feature_60,0.0004273269,3,60,Avg_Bwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_24,0.00042516267,3,24,Flow_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_92,0.00042154887,3,92,Avg_Packet_Length_Std_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_111,0.0004187631,4,111,Avg_Bwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_74,0.00041333956,3,74,Avg_Bytes_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_7_feature_108,0.00041184752,7,108,Avg_Bwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_7_feature_145,0.00040916528,7,145,ACK_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_124,0.00040707362,10,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_8_feature_159,0.0004046054,8,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_6_feature_40,0.00040451894,6,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_63,0.00040259026,7,63,Avg_Bwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_32,0.00040255042,6,32,Avg_Flow_Duration_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_124,0.0004021463,2,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_144,0.00040018818,3,144,ACK_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_132,0.00039512326,8,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_9_feature_102,0.0003946839,9,102,Avg_Fwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_4_feature_27,0.00039224813,4,27,Avg_Flow_Duration_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_56,0.00039051494,5,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_103,0.00038571106,2,103,Avg_Fwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_113,0.0003823267,1,113,Avg_Bwd_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_3_feature_111,0.00038078902,3,111,Avg_Bwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_62,0.0003762325,5,62,Avg_Bwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_6_feature_108,0.00037416012,6,108,Avg_Bwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_94,0.00037164055,5,94,Avg_Packet_Length_Std_PctChange5,Percentage Change,Temporal / Behaviour
timestep_6_feature_51,0.00037070282,6,51,Avg_Fwd_Bytes_Diff1,Difference,Temporal / Behaviour
timestep_8_feature_112,0.00037053903,8,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_112,0.00037039228,3,112,Avg_Bwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_67,0.00036951117,10,67,Avg_Bytes_Per_Second_Diff1,Difference,Temporal / Behaviour
timestep_10_feature_61,0.00036872772,10,61,Avg_Bwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
timestep_4_feature_56,0.0003657488,4,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_90,0.00036465784,9,90,Avg_Packet_Length_Slope5,Slope,Temporal / Behaviour
timestep_4_feature_41,0.00036425007,4,41,Avg_Fwd_Packets_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_126,0.0003641314,10,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_10_feature_79,0.00036294607,10,79,Avg_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_4_feature_57,0.00036146247,4,57,Avg_Fwd_Bytes_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_143,0.000360689,10,143,ACK_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_81,0.00036049876,10,81,Avg_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_6_feature_55,0.0003604036,6,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_72,0.0003600343,2,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_149,0.00035919846,7,149,Unique_Destination_Ports_PctChange1,Percentage Change,Temporal / Behaviour
timestep_7_feature_132,0.00035778127,7,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_152,0.00035615743,3,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_55,0.00035085462,8,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_55,0.0003501925,2,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_151,0.00035005537,7,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_143,0.0003499281,1,143,ACK_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_151,0.00034989932,5,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_50,0.00034632214,5,50,Avg_Bwd_Packets_Slope5,Slope,Temporal / Behaviour
timestep_10_feature_129,0.00034531273,10,129,RST_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_5_feature_22,0.00033515922,5,22,Flow_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_8_feature_61,0.0003327973,8,61,Avg_Bwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
timestep_2_feature_152,0.0003314563,2,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_129,0.0003310577,3,129,RST_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_3_feature_51,0.000329826,3,51,Avg_Fwd_Bytes_Diff1,Difference,Temporal / Behaviour
timestep_7_feature_111,0.00032925615,7,111,Avg_Bwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_129,0.0003278897,8,129,RST_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_20,0.00032716175,9,20,Flow_Count_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_25,0.00032347837,4,25,Flow_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_8_feature_149,0.00032053865,8,149,Unique_Destination_Ports_PctChange1,Percentage Change,Temporal / Behaviour
timestep_7_feature_130,0.0003202854,7,130,RST_Count_Slope5,Slope,Temporal / Behaviour
timestep_1_feature_153,0.00031639254,1,153,Unique_Destination_Ports_ZScore5,Z-Score,Temporal / Behaviour
timestep_2_feature_78,0.0003138581,2,78,Avg_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_8_feature_120,0.000309071,8,120,SYN_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_115,0.00030471975,5,115,SYN_Count_Diff1,Difference,Temporal / Behaviour
timestep_3_feature_132,0.0003029685,3,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_136,0.00030182305,3,136,PSH_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_124,0.00029893802,6,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_6_feature_136,0.00029569352,6,136,PSH_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_118,0.00029446578,8,118,SYN_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_6_feature_28,0.00029387526,6,28,Avg_Flow_Duration_Diff5,Difference,Temporal / Behaviour
timestep_7_feature_105,0.0002900802,7,105,Avg_Fwd_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_1_feature_149,0.0002876066,1,149,Unique_Destination_Ports_PctChange1,Percentage Change,Temporal / Behaviour
timestep_6_feature_104,0.0002847588,6,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_149,0.00028378793,4,149,Unique_Destination_Ports_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_117,0.00027801126,1,117,SYN_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_2_feature_149,0.0002764604,2,149,Unique_Destination_Ports_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_72,0.00027571,1,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_64,0.00027155445,8,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_133,0.0002656532,1,133,PSH_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_5_feature_67,0.00026564058,5,67,Avg_Bytes_Per_Second_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_132,0.00025847793,5,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_7_feature_26,0.00025517546,7,26,Flow_Count_Slope5,Slope,Temporal / Behaviour
timestep_8_feature_58,0.00025471952,8,58,Avg_Fwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_122,0.00025417714,3,122,SYN_Count_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_141,0.00025367425,5,141,ACK_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_100,0.0002535021,1,100,Avg_Fwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_7_feature_115,0.00025178987,7,115,SYN_Count_Diff1,Difference,Temporal / Behaviour
timestep_3_feature_55,0.00024739522,3,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_104,0.00024698972,7,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_60,0.0002469676,5,60,Avg_Bwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_6_feature_95,0.00024465495,6,95,Avg_Packet_Length_Std_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_103,0.00024386108,8,103,Avg_Fwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_148,0.000242985,3,148,Unique_Destination_Ports_Diff5,Difference,Temporal / Behaviour
timestep_8_feature_52,0.00024166981,8,52,Avg_Fwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_7_feature_136,0.00024153935,7,136,PSH_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_40,0.0002366896,1,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_151,0.00023632155,6,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_4_feature_95,0.00023449471,4,95,Avg_Packet_Length_Std_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_94,0.00023027604,2,94,Avg_Packet_Length_Std_PctChange5,Percentage Change,Temporal / Behaviour
timestep_3_feature_41,0.0002194342,3,41,Avg_Fwd_Packets_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_67,0.00021844068,9,67,Avg_Bytes_Per_Second_Diff1,Difference,Temporal / Behaviour
timestep_1_feature_108,0.00021707709,1,108,Avg_Bwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_6_feature_83,0.00021500922,6,83,Avg_Packet_Length_Diff1,Difference,Temporal / Behaviour
timestep_4_feature_78,0.00021419725,4,78,Avg_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_4_feature_127,0.00021284525,4,127,RST_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_78,0.00020958413,5,78,Avg_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_98,0.00020953924,5,98,Avg_Packet_Length_Std_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_64,0.00020871802,3,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_61,0.00020541399,6,61,Avg_Bwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
timestep_8_feature_32,0.00020452033,8,32,Avg_Flow_Duration_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_50,0.00020106128,1,50,Avg_Bwd_Packets_Slope5,Slope,Temporal / Behaviour
timestep_6_feature_56,0.00019996343,6,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_134,0.00019983556,8,134,PSH_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_4_feature_136,0.00019970197,4,136,PSH_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_77,0.00018967947,10,77,Avg_Packets_Per_Second_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_105,0.00018865278,1,105,Avg_Fwd_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_8_feature_41,0.00018757206,8,41,Avg_Fwd_Packets_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_160,0.000182505,9,160,Bwd_Fwd_Byte_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_1_feature_104,0.0001809269,1,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_132,0.00017961294,2,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_9_feature_98,0.00017791375,9,98,Avg_Packet_Length_Std_Slope5,Slope,Temporal / Behaviour
timestep_9_feature_22,0.00017704777,9,22,Flow_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_2_feature_70,0.00017527392,2,70,Avg_Bytes_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_8_feature_110,0.00017140397,8,110,Avg_Bwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_1_feature_51,0.00017123536,1,51,Avg_Fwd_Bytes_Diff1,Difference,Temporal / Behaviour
timestep_4_feature_51,0.00016833942,4,51,Avg_Fwd_Bytes_Diff1,Difference,Temporal / Behaviour
timestep_6_feature_41,0.00016033727,6,41,Avg_Fwd_Packets_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_50,0.00015873689,9,50,Avg_Bwd_Packets_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_108,0.00015838066,5,108,Avg_Bwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_126,0.00015730964,5,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_4_feature_116,0.00015328312,4,116,SYN_Count_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_104,0.00014701491,4,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_73,0.00014588442,4,73,Avg_Bytes_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_1_feature_76,0.00014430098,1,76,Avg_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_1_feature_132,0.00014266644,1,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_2_feature_75,0.00014011886,2,75,Avg_Packets_Per_Second_Diff1,Difference,Temporal / Behaviour
timestep_3_feature_134,0.00013842365,3,134,PSH_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_8_feature_85,0.00013672422,8,85,Avg_Packet_Length_PctChange1,Percentage Change,Temporal / Behaviour
timestep_3_feature_106,0.0001357778,3,106,Avg_Fwd_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_4_feature_62,0.00013556513,4,62,Avg_Bwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_152,0.00013550595,5,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_44,0.00013470594,4,44,Avg_Bwd_Packets_Diff5,Difference,Temporal / Behaviour
timestep_10_feature_153,0.00013377934,10,153,Unique_Destination_Ports_ZScore5,Z-Score,Temporal / Behaviour
timestep_9_feature_19,0.00013199761,9,19,Flow_Count_Diff1,Difference,Temporal / Behaviour
timestep_9_feature_130,0.00012512386,9,130,RST_Count_Slope5,Slope,Temporal / Behaviour
timestep_9_feature_153,0.00012457276,9,153,Unique_Destination_Ports_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_66,0.00012429692,10,66,Avg_Bwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_4_feature_142,0.00011883971,4,142,ACK_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_9_feature_60,0.000113943985,9,60,Avg_Bwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_2_feature_137,0.00010927065,2,137,PSH_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_10_feature_80,0.00010258383,10,80,Avg_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_102,0.00010118305,3,102,Avg_Fwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_9_feature_44,0.000100328325,9,44,Avg_Bwd_Packets_Diff5,Difference,Temporal / Behaviour
timestep_3_feature_94,9.838151e-05,3,94,Avg_Packet_Length_Std_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_90,9.3858594e-05,5,90,Avg_Packet_Length_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_150,8.975049e-05,5,150,Unique_Destination_Ports_PctChange5,Percentage Change,Temporal / Behaviour
timestep_7_feature_56,8.8917535e-05,7,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_37,7.459782e-05,6,37,Avg_Fwd_Packets_PctChange1,Percentage Change,Temporal / Behaviour
timestep_10_feature_145,7.067411e-05,10,145,ACK_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_6_feature_122,6.883891e-05,6,122,SYN_Count_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_117,6.506281e-05,3,117,SYN_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_53,5.6740966e-05,1,53,Avg_Fwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
timestep_2_feature_25,5.2099487e-05,2,25,Flow_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_5_feature_43,4.4214277e-05,5,43,Avg_Bwd_Packets_Diff1,Difference,Temporal / Behaviour
timestep_4_feature_154,3.625166e-05,4,154,Unique_Destination_Ports_Slope5,Slope,Temporal / Behaviour
timestep_1_feature_150,3.5883833e-05,1,150,Unique_Destination_Ports_PctChange5,Percentage Change,Temporal / Behaviour
timestep_6_feature_73,3.257038e-05,6,73,Avg_Bytes_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_8_feature_21,2.7134509e-05,8,21,Flow_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_1_feature_118,1.5501364e-05,1,118,SYN_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_9_feature_61,1.676118e-06,9,61,Avg_Bwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
timestep_4_feature_125,0.0,4,125,RST_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_4_feature_129,0.0,4,129,RST_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_4_feature_130,0.0,4,130,RST_Count_Slope5,Slope,Temporal / Behaviour
timestep_4_feature_131,0.0,4,131,PSH_Count_Diff1,Difference,Temporal / Behaviour
timestep_4_feature_132,0.0,4,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_4_feature_133,0.0,4,133,PSH_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_4_feature_137,0.0,4,137,PSH_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_4_feature_113,0.0,4,113,Avg_Bwd_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_2_feature_133,0.0,2,133,PSH_Count_PctChange1,Percentage Change,Temporal / Behaviour
timestep_2_feature_134,0.0,2,134,PSH_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_33,0.0,5,33,Avg_Flow_Duration_ZScore5,Z-Score,Temporal / Behaviour
timestep_5_feature_35,0.0,5,35,Avg_Fwd_Packets_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_37,0.0,5,37,Avg_Fwd_Packets_PctChange1,Percentage Change,Temporal / Behaviour
timestep_2_feature_102,0.0,2,102,Avg_Fwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_49,0.0,5,49,Avg_Bwd_Packets_ZScore5,Z-Score,Temporal / Behaviour
timestep_5_feature_51,0.0,5,51,Avg_Fwd_Bytes_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_52,0.0,5,52,Avg_Fwd_Bytes_Diff5,Difference,Temporal / Behaviour
timestep_5_feature_54,0.0,5,54,Avg_Fwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_57,0.0,5,57,Avg_Fwd_Bytes_ZScore5,Z-Score,Temporal / Behaviour
timestep_5_feature_58,0.0,5,58,Avg_Fwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_59,0.0,5,59,Avg_Bwd_Bytes_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_61,0.0,5,61,Avg_Bwd_Bytes_PctChange1,Percentage Change,Temporal / Behaviour
