Epoch,Train_Loss,Validation_Loss,Validation_F1,Validation_ROC_AUC,Validation_PR_AUC
1,0.6021444171552032,0.6001908684388185,0.0,0.6309703098106711,0.7392620244023446
2,0.6031362481098838,0.6004638210321084,0.7296416938110749,0.5136617900172117,0.6125474028377389
3,0.6006536726939325,0.6007080301260337,0.0,0.43680077452667815,0.5463173827582547
4,0.6032260890326138,0.6006563746012175,0.7296416938110749,0.44078098106712565,0.54828146453891
5,0.6006739309088758,0.6014069471603785,0.0,0.4352947504302926,0.5420919996145014
6,0.6011823328305396,0.600655010724679,0.7296416938110749,0.4359401893287435,0.5461046950370471
7,0.6020335344887762,0.6007353370006268,0.7296416938110749,0.43723106712564547,0.5426475924528978
8,0.6042403209009993,0.6017215334452115,0.0,0.4363166953528399,0.5428852701671318
9,0.6014095412871706,0.6007480006951552,0.6570397111913358,0.4381454388984509,0.5433398728167581
10,0.603119335886441,0.6005603781113258,0.7296416938110749,0.4397590361445783,0.5437471096091712
11,0.6013965603621003,0.6008922320145828,0.7278688524590164,0.4376075731497418,0.5432051654555358
12,0.5997252416733456,0.6014067157720908,0.0,0.43793029259896726,0.5471382312852994
13,0.5976109085089145,0.6016277701426775,0.0,0.4423407917383821,0.5492088723637488
14,0.5972583475720468,0.602045646080604,0.0,0.44341652323580033,0.5494828128891761
