Threshold,Precision,Recall,F1
0.2,0.8297872340425532,1.0,0.9069767441860465
0.25,0.8863636363636364,1.0,0.9397590361445783
0.3,0.9140625,1.0,0.9551020408163265
0.35,0.9435483870967742,1.0,0.970954356846473
0.4,0.9435483870967742,1.0,0.970954356846473
0.45,0.9435483870967742,1.0,0.970954356846473
0.5,0.9512195121951219,1.0,0.975
0.55,0.9512195121951219,1.0,0.975
0.6,0.9508196721311475,0.9914529914529915,0.9707112970711297
0.65,0.9504132231404959,0.9829059829059829,0.9663865546218487
0.7,0.9504132231404959,0.9829059829059829,0.9663865546218487
0.75,0.957983193277311,0.9743589743589743,0.9661016949152542
0.8,0.9565217391304348,0.9401709401709402,0.9482758620689655
