Threshold,True_Negative,False_Positive,False_Negative,True_Positive,Precision,Recall,F1,Specificity
0.4,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.41000000000000003,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.42000000000000004,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.43000000000000005,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.44000000000000006,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.45000000000000007,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.4600000000000001,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.4700000000000001,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.4800000000000001,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.4900000000000001,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.5000000000000001,0,339,0,183,0.3505747126436782,1.0,0.5191489361702127,0.0
0.5100000000000001,20,319,3,180,0.36072144288577157,0.9836065573770492,0.5278592375366569,0.058997050147492625
0.5200000000000001,332,7,172,11,0.6111111111111112,0.060109289617486336,0.10945273631840796,0.9793510324483776
0.5300000000000001,339,0,183,0,0.0,0.0,0.0,1.0
0.5400000000000001,339,0,183,0,0.0,0.0,0.0,1.0
0.5500000000000002,339,0,183,0,0.0,0.0,0.0,1.0
0.5600000000000002,339,0,183,0,0.0,0.0,0.0,1.0
0.5700000000000002,339,0,183,0,0.0,0.0,0.0,1.0
0.5800000000000002,339,0,183,0,0.0,0.0,0.0,1.0
0.5900000000000002,339,0,183,0,0.0,0.0,0.0,1.0
0.6000000000000002,339,0,183,0,0.0,0.0,0.0,1.0
