Split,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Validation,0.2,0.8421052631578947,0.9014084507042254,0.927536231884058,0.9142857142857143,0.4865424430641822,0.9315500127673495
Test,0.2,0.9513274336283186,0.9098360655737705,1.0,0.9527896995708155,0.9969447708578143,0.9967245363339529
