Threshold,Precision,Recall,F1
0.2,0.8253968253968254,0.896551724137931,0.859504132231405
0.25,0.8260869565217391,0.8189655172413793,0.8225108225108225
0.3,0.8348623853211009,0.7844827586206896,0.8088888888888889
0.35,0.8514851485148515,0.7413793103448276,0.7926267281105991
0.39999999999999997,0.8602150537634409,0.6896551724137931,0.7655502392344498
0.44999999999999996,0.8620689655172413,0.646551724137931,0.7389162561576355
0.49999999999999994,0.8888888888888888,0.6206896551724138,0.7309644670050761
0.5499999999999999,0.918918918918919,0.5862068965517241,0.7157894736842105
0.5999999999999999,0.9142857142857143,0.5517241379310345,0.6881720430107527
0.6499999999999999,0.9264705882352942,0.5431034482758621,0.6847826086956522
0.7,0.953125,0.5258620689655172,0.6777777777777778
0.7499999999999998,0.9666666666666667,0.5,0.6590909090909091
0.7999999999999998,0.9636363636363636,0.45689655172413796,0.6198830409356725
