Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
0.2,0.8053691275167785,0.8013698630136986,1.0,0.8897338403041825,0.9423076923076923,0.9851783403982988
0.25,0.8120805369127517,0.8068965517241379,1.0,0.8931297709923665,0.9423076923076923,0.9851783403982988
0.3,0.8456375838926175,0.8357142857142857,1.0,0.9105058365758755,0.9423076923076923,0.9851783403982988
0.35,0.8523489932885906,0.8571428571428571,0.9743589743589743,0.912,0.9423076923076923,0.9851783403982988
0.39999999999999997,0.8523489932885906,0.8740157480314961,0.9487179487179487,0.9098360655737705,0.9423076923076923,0.9851783403982988
0.44999999999999996,0.8657718120805369,0.9217391304347826,0.905982905982906,0.9137931034482759,0.9423076923076923,0.9851783403982988
0.49999999999999994,0.8791946308724832,0.9541284403669725,0.8888888888888888,0.9203539823008849,0.9423076923076923,0.9851783403982988
0.5499999999999999,0.8523489932885906,0.9702970297029703,0.8376068376068376,0.8990825688073395,0.9423076923076923,0.9851783403982988
0.5999999999999999,0.8389261744966443,1.0,0.7948717948717948,0.8857142857142857,0.9423076923076923,0.9851783403982988
0.6499999999999999,0.6308724832214765,1.0,0.5299145299145299,0.6927374301675978,0.9423076923076923,0.9851783403982988
0.7,0.5302013422818792,1.0,0.4017094017094017,0.573170731707317,0.9423076923076923,0.9851783403982988
0.7499999999999998,0.5302013422818792,1.0,0.4017094017094017,0.573170731707317,0.9423076923076923,0.9851783403982988
0.7999999999999998,0.5302013422818792,1.0,0.4017094017094017,0.573170731707317,0.9423076923076923,0.9851783403982988
