Model,Class,Count,Mean,Std,Min,25th_Percentile,Median,75th_Percentile,Max
Original XGBoost,Benign,339,0.05745373483716813,0.04979192606779208,0.0070363763,0.0256558285,0.040743038,0.07246598000000001,0.5100693
Original XGBoost,Infilteration,183,0.1451542888387978,0.19110496189508566,0.009498755,0.036519895,0.0666229,0.146402895,0.9038967
Enhanced XGBoost,Benign,336,0.007950744664910714,0.029101313195559468,0.00023542586,0.001227529125,0.0028244709,0.005786689625,0.47712025
Enhanced XGBoost,Infilteration,183,0.08041065708606557,0.19406325877128314,0.00021291069,0.00178241345,0.0068981294,0.028074855000000003,0.92377454
