Model,Features,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TN,FP,FN,TP
Original XGBoost,18,0.5,0.6743295019157088,0.9333333333333333,0.07650273224043716,0.1414141414141414,0.6556732272675984,0.5851611824185339,338,1,169,14
Enhanced XGBoost,161,0.5,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,0.6506147540983608,0.601305715927289,336,0,173,10
