Feature_Family,count,sum,mean,max,Percent_of_Total
Rolling Mean,170,0.33783417567,0.001987259856882353,0.01682352,33.78341898820087
Base Traffic,230,0.234214045619,0.001018321937473913,0.010687498,23.421405547191686
Rolling Std,170,0.199174797005,0.0011716164529705882,0.005576007,19.917480538388567
Percentage Change,340,0.08089957166,0.00023793991664705882,0.0053483066,8.089957506328332
Difference,340,0.079130608047,0.0002327370824911765,0.0049073873,7.913061137586657
Slope,170,0.029978368934,0.00017634334667058823,0.0058835065,2.9978370195130077
Z-Score,170,0.029624999007,0.00017426470004117649,0.002512159,2.962500025326451
Behaviour Ratio,20,0.00914339199,0.0004571695995,0.0016730671,0.9143392374644229
